run_id,variant,model,prompt_strategy,tier,tier_order,database,question,gold_sql,generated_sql,outcome,correct,executed,silent_failure,error_type,confidence,confidence_bucket,gold_rows,returned_rows,tokens,cost_usd,latency_ms
1,V1,Llama 3.1 8B,zero-shot,complex,3,apartment_rentals,Find the number of apartments that have no facility.,SELECT count(*) FROM Apartments WHERE apt_id NOT IN (SELECT apt_id FROM Apartment_Facilities),SELECT COUNT(DISTINCT a.apt_id) FROM Apartments a LEFT JOIN Apartment_Facilities af ON a.apt_id = af.apt_id WHERE af.apt_id IS NULL,Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,565,0.000030,5562
2,V1,Llama 3.1 8B,zero-shot,complex,3,apartment_rentals,Which apartment type code appears the most often?,SELECT apt_type_code FROM Apartments GROUP BY apt_type_code ORDER BY count(*) DESC LIMIT 1,"SELECT apt_type_code, COUNT(*) as count FROM Apartments GROUP BY apt_type_code ORDER BY count DESC LIMIT 1",Silent failure,0,1,1,wrong_projection,1.0,0.9 to 1.0,1,1,551,0.000029,10217
3,V2,Llama 3.1 8B,few-shot,complex,3,apartment_rentals,Find the number of apartments that have no facility.,SELECT count(*) FROM Apartments WHERE apt_id NOT IN (SELECT apt_id FROM Apartment_Facilities),SELECT COUNT(T1.apt_id) FROM Apartments AS T1 LEFT JOIN Apartment_Facilities AS T2 ON T1.apt_id = T2.apt_id WHERE T2.facility_code IS NULL,Correct,1,1,0,none,0.95,0.9 to 1.0,1,1,1199,0.000062,7340
4,V2,Llama 3.1 8B,few-shot,complex,3,apartment_rentals,Which apartment type code appears the most often?,SELECT apt_type_code FROM Apartments GROUP BY apt_type_code ORDER BY count(*) DESC LIMIT 1,SELECT apt_type_code FROM Apartments GROUP BY apt_type_code ORDER BY COUNT(apt_type_code) DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,1179,0.000060,11436
5,V3,Llama 3.1 70B,zero-shot,complex,3,apartment_rentals,Which apartment type code appears the most often?,SELECT apt_type_code FROM Apartments GROUP BY apt_type_code ORDER BY count(*) DESC LIMIT 1,SELECT apt_type_code FROM Apartments GROUP BY apt_type_code ORDER BY COUNT(apt_id) DESC LIMIT 1,Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,550,0.000333,2500
6,V3,Llama 3.1 70B,zero-shot,complex,3,apartment_rentals,Find the number of apartments that have no facility.,SELECT count(*) FROM Apartments WHERE apt_id NOT IN (SELECT apt_id FROM Apartment_Facilities),SELECT COUNT(a.apt_id) FROM Apartments a LEFT JOIN Apartment_Facilities f ON a.apt_id = f.apt_id WHERE f.facility_code IS NULL,Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,562,0.000342,2397
7,V4,Llama 3.1 70B,few-shot,complex,3,apartment_rentals,Which apartment type code appears the most often?,SELECT apt_type_code FROM Apartments GROUP BY apt_type_code ORDER BY count(*) DESC LIMIT 1,SELECT apt_type_code FROM Apartments GROUP BY apt_type_code ORDER BY COUNT(apt_id) DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,1178,0.000702,5302
8,V4,Llama 3.1 70B,few-shot,complex,3,apartment_rentals,Find the number of apartments that have no facility.,SELECT count(*) FROM Apartments WHERE apt_id NOT IN (SELECT apt_id FROM Apartment_Facilities),SELECT COUNT(*) FROM Apartments WHERE apt_id NOT IN (SELECT apt_id FROM Apartment_Facilities),Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,1176,0.000701,5631
9,V1,Llama 3.1 8B,zero-shot,complex,3,bike_1,Find the id for the trips that lasted at least as long as the average duration of trips in zip code 94103.,SELECT id FROM trip WHERE duration >= (SELECT avg(duration) FROM trip WHERE zip_code = 94103),SELECT T1.id FROM trip AS T1 JOIN weather AS T2 ON T1.zip_code = T2.zip_code WHERE T1.duration >= (SELECT AVG(duration) FROM trip WHERE zip_code = 94103),Silent failure,0,1,1,wrong_join,0.9,0.9 to 1.0,4871,10000,522,0.000028,309
10,V2,Llama 3.1 8B,few-shot,complex,3,bike_1,Find the id for the trips that lasted at least as long as the average duration of trips in zip code 94103.,SELECT id FROM trip WHERE duration >= (SELECT avg(duration) FROM trip WHERE zip_code = 94103),SELECT id FROM trip WHERE duration >= (SELECT AVG(duration) FROM trip WHERE zip_code = 94103),Correct,1,1,0,none,0.95,0.9 to 1.0,4871,4871,1129,0.000058,385
11,V3,Llama 3.1 70B,zero-shot,complex,3,bike_1,Find the id for the trips that lasted at least as long as the average duration of trips in zip code 94103.,SELECT id FROM trip WHERE duration >= (SELECT avg(duration) FROM trip WHERE zip_code = 94103),SELECT id FROM trip WHERE duration >= (SELECT AVG(duration) FROM trip WHERE zip_code = 94103),Correct,1,1,0,none,1.0,0.9 to 1.0,4871,4871,503,0.000305,375
12,V4,Llama 3.1 70B,few-shot,complex,3,bike_1,Find the id for the trips that lasted at least as long as the average duration of trips in zip code 94103.,SELECT id FROM trip WHERE duration >= (SELECT avg(duration) FROM trip WHERE zip_code = 94103),SELECT id FROM trip WHERE duration >= (SELECT AVG(duration) FROM trip WHERE zip_code = 94103),Correct,1,1,0,none,0.9,0.9 to 1.0,4871,4871,1129,0.000673,292
13,V1,Llama 3.1 8B,zero-shot,complex,3,climbing,What is the height of the mountain climbined by the climbing who had the most points?,SELECT T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID ORDER BY T1.Points DESC LIMIT 1,SELECT M.Height FROM climber C JOIN mountain M ON C.Mountain_ID = M.Mountain_ID WHERE C.Points = (SELECT MAX(Points) FROM climber),Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,300,0.000017,3405
